Ticker,Year,EPSIE
CMS,2017,1.64
CMS,2018,2.32
COO,2009,2.21
COO,2010,2.43
COO,2011,3.63
COO,2012,5.05
COO,2013,5.96
COO,2014,5.51
COO,2015,4.14
COO,2016,5.59
COO,2017,7.52
COO,2018,2.81
TAP,2009,3.87
TAP,2010,3.78
TAP,2011,3.63
TAP,2012,2.44
TAP,2013,3.08
TAP,2014,2.76
TAP,2015,1.93
TAP,2016,9.26
TAP,2017,6.53
TAP,2018,5.15
GLW,2009,1.28
GLW,2010,2.25
GLW,2011,1.77
GLW,2012,1.15
GLW,2013,1.34
GLW,2014,1.73
GLW,2015,1
GLW,2016,3.23
GLW,2017,-0.66
GLW,2018,1.13
CMI,2009,2.16
CMI,2010,5.28
CMI,2011,9.55
CMI,2012,8.67
CMI,2013,7.91
CMI,2014,9.02
CMI,2015,7.84
CMI,2016,8.23
CMI,2017,5.97
CMI,2018,13.15
DHR,2009,3.46
DHR,2010,2.64
DHR,2011,3.11
DHR,2012,3.36
DHR,2013,3.8
DHR,2014,3.63
DHR,2015,4.74
DHR,2016,3.65
DHR,2017,3.53
DHR,2018,3.74
TGT,2008,2.86
TGT,2009,3.3
TGT,2010,4
TGT,2011,4.28
TGT,2012,4.52
TGT,2013,3.07
TGT,2014,-2.56
TGT,2015,5.31
TGT,2016,4.7
TGT,2017,5.33
TGT,2018,5.51
DE,2009,2.06
DE,2010,4.35
DE,2011,6.63
DE,2012,7.63
DE,2013,9.09
DE,2014,8.63
DE,2015,5.77
DE,2016,4.81
DE,2017,6.68
DE,2018,7.24
DAL,2009,-1.5
DAL,2010,0.7
DAL,2011,1.01
DAL,2012,1.19
DAL,2013,12.29
DAL,2014,0.78
DAL,2015,5.63
DAL,2016,5.79
DAL,2017,4.95
DAL,2018,5.67
DTE,2009,3.24
DTE,2010,3.74
DTE,2011,4.18
DTE,2012,3.55
DTE,2013,3.76
DTE,2014,5.1
DTE,2015,4.05
DTE,2016,4.83
DTE,2017,6.32
DTE,2018,6.17
DIS,2009,1.76
DIS,2010,2.03
DIS,2011,2.52
DIS,2012,3.13
DIS,2013,3.38
DIS,2014,4.26
DIS,2015,4.9
DIS,2016,5.73
DIS,2017,5.69
DIS,2018,8.36
DG,2008,
DG,2009,1.04
DG,2010,1.82
DG,2011,2.22
DG,2012,2.85
DG,2013,3.17
DG,2014,3.49
DG,2015,3.95
DG,2016,4.43
DG,2017,5.63
DG,2018,5.97
D,2009,2.17
D,2010,4.76
D,2011,2.45
D,2012,0.53
D,2013,2.93
D,2014,2.24
D,2015,3.2
D,2016,3.44
D,2017,4.72
D,2018,3.74
DOV,2009,1.91
DOV,2010,3.7
DOV,2011,4.74
DOV,2012,4.41
DOV,2013,5.78
DOV,2014,4.59
DOV,2015,5.46
DOV,2016,3.25
DOV,2017,5.15
DOV,2018,3.75
DD,2009,0.32
DD,2010,1.72
DD,2011,2.05
DD,2012,0.7
DD,2013,3.68
DD,2014,2.87
DD,2015,6.15
DD,2016,3.52
DD,2017,0.91
DD,2018,1.65
OMC,2009,2.53
OMC,2010,2.7
OMC,2011,3.33
OMC,2012,3.61
OMC,2013,3.71
OMC,2014,4.24
OMC,2015,4.41
OMC,2016,4.78
OMC,2017,4.65
OMC,2018,5.83
DUK,2009,0.83
DUK,2010,1
DUK,2011,1.28
DUK,2012,3.07
DUK,2013,3.76
DUK,2014,2.66
DUK,2015,4.05
